BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
YOR211C,YDL169C,YDR536W,YDR489W,YDL085C-A,,YOR040W,YGL056C,YKR035W-A,YDR399W,,,YPR041W,YHR134W
YOR288C,YDL176W,YEL062W,YDR515W,YDL085W,,YOR155C,YGR233C,YKR037C,YDR427W,,,YAL018C,YHR139C
YOR298W,YDL182W,YER007W,YDR534C,YDL089W,,YOR378W,YHR036W,YKR087C,YDR454C,,,YBR212W,YHR163W
YPL219W,YDR163W,YER023W,YEL032W,YDL102W,,YPL121C,YJL100W,YLL038C,YDR468C,,,YCL035C,YIL057C
YPL244C,YDR177W,YER042W,YEL056W,YDL105W,,YPL122C,YJL153C,YLL046C,YDR480W,,,YCR020C,YIL072W
YPL259C,YDR235W,YER060W,YEL062W,YDL120W,,YPR111W,YJR036C,YLR251W,YDR514C,,,YCR061W,YIL099W
YPR003C,YDR429C,YER067W,YER006W,YDL121C,,YAL018C,YJR051W,YLR306W,YDR533C,,,YCR065W,YIL132C
YPR124W,YDR490C,YER078C,YER007W,YDL129W,,YAR002W,YKL183W,YLR356W,YDR534C,,,YCR068W,YIR017C
YAR002W,YFL060C,YER143W,YER034W,YDL150W,,YBR220C,YKR008W,YLR408C,YDR536W,,,YDL099W,YIR021W
YBL091C-A,YFR005C,YER161C,YER037W,YDL155W,,YCR061W,YKR015C,YLR443W,YEL002C,,,YDL183C,YIR038C
YBR125C,YGR036C,YER163C,YER042W,YDL170W,,YDR032C,YLL033W,YLR459W,YEL026W,,,YDR058C,YJL096W
YBR180W,YGR095C,YER186C,YER049W,YDL175C,,YFR011C,YLR001C,YML081C-A,YEL051W,,,YER066W,YJL115W
YBR186W,YGR163W,YFL012W,YER060W,YDL179W,,YGL001C,YLR049C,YMR079W,YEL056W,,,YGL171W,YJL208C
YCL035C,YGR252W,YFR006W,YER067W,YDL199C,,YGL043W,YLR266C,YMR085W,YEL062W,,,YGR207C,YJL210W
YCL051W,YHL012W,YFR027W,YER071C,YDL243C,,YGR020C,YLR300W,YMR094W,YER006W,,,YGR268C,YJR142W
YDL138W,YKL222C,YFR044C,YER109C,YDR065W,,YGR130C,YMR031C,YMR183C,YER058W,,,YHR143W,YKL013C
YDL189W,YKR060W,YGL018C,YER137C,YDR073W,,YGR168C,YMR215W,YMR194C-B,YER078C,,,YIL024C,YKL016C
YDR162C,YKR091W,YGL040C,YER146W,YDR079C-A,,YHL031C,YMR291W,YMR244C-A,YER080W,,,YJR024C,YKL143W
YDR231C,YLL004W,YGL058W,YER163C,YDR090C,,YIL127C,YNL315C,YMR270C,YER094C,,,YJR060W,YKL191W
YDR259C,YLR001C,YGL065C,YER186C,YDR108W,,YJL141C,YOL043C,YMR278W,YER143W,,,YKL120W,YKL221W
YDR379W,YLR056W,YGL067W,YFL012W,YDR109C,,YJR095W,YOL091W,YMR292W,YER146W,,,YKL141W,YKR024C
YER141W,YLR066W,YGL091C,YFL017C,YDR116C,,YJR119C,YOR122C,YMR297W,YER161C,,,YKR061W,YKR049C
YFL016C,YLR346C,YGL127C,YFL029C,YDR121W,,YJR144W,YOR156C,YMR315W-A,YER180C-A,,,YLR085C,YKR087C
YFR023W,YMR076C,YGL142C,YFL045C,YDR143C,,YKL089W,YOR293C-A,YNL058C,YFL017C,,,YMR018W,YKR104W
YGL001C,YMR098C,YGL155W,YFR045W,YDR145W,,YKR002W,YOR311C,YNL113W,YFL045C,,,YMR148W,YLR018C
YGL028C,YMR241W,YGL185C,YFR051C,YDR156W,,YLR077W,YPR075C,YNL131W,YFL052W,,,YNL149C,YLR021W
YGL154C,YMR291W,YGL237C,YGL004C,YDR197W,,YLR266C,YAL067C,YNL260C,YFR003C,,,YOL038W,YLR100W
YGL202W,YNL001W,YGL246C,YGL040C,YDR236C,,YLR286C,YBR298C,YNL272C,YFR025C,,,YOR286W,YLR117C
YGR109C,YNL084C,YGR035C,YGL058W,YDR237W,,YML069W,YCR084C,YNL277W,YFR044C,,,YOR354C,YLR146C
YGR146C-A,YNL258C,YGR037C,YGL082W,YDR249C,,YNL262W,YDR359C,YNL280C,YFR045W,,,YPL272C,YLR163C
YGR210C,YNL288W,YGR053C,YGL145W-1,YDR296W,,YOL055C,YDR523C,YNL290W,YFR055W,,,YPR200C,YLR201C
YGR268C,YOR001W,YGR071C,YGL258W,YDR297W,,YOR006C,YER113C,YNL291C,YGL004C,,,YDR087C,YLR251W
YHR182W,YOR142W,YGR104C,YGL262W,YDR315C,,YPL054W,YGL013C,YNL334C,YGL037C,,,YGR076C,YLR352W
YIL023C,YOR382W,YGR127W,YGR017W,YDR321W,,YPR085C,YHR005C,YNR057C,YGL063W,,,YHL042W,YLR353W
YJL059W,YPL240C,YGR167W,YGR021W,YDR323C,,YDL101C,YJR002W,YOL147C,YGL067W,,,YJL072C,YLR363W-A
