BC187_Deleterious_Genes,BY4743_Deleterious_Genes,DBVPG1373_Deleterious_Genes,NCYC3290_Deleterious_Genes,Y12_Deleterious_Genes,Y2209_Deleterious_Genes,Y389_Deleterious_Genes,Y7568_Deleterious_Genes,YJM1273_Deleterious_Genes,YJM1389_Deleterious_Genes,YJM1592_Deleterious_Genes,YJM978_Deleterious_Genes,YPS128_Deleterious_Genes,YPS163_Deleterious_Genes
,,,,YPL124W,,,,,,,,,
,,,,YPL134C,,,,,,,,,
,,,,YPL166W,,,,,,,,,
,,,,YPL168W,,,,,,,,,
,,,,YPL173W,,,,,,,,,
,,,,YPL181W,,,,,,,,,
,,,,YPL193W,,,,,,,,,
,,,,YPL208W,,,,,,,,,
,,,,YPL209C,,,,,,,,,
,,,,YPL213W,,,,,,,,,
,,,,YPL233W,,,,,,,,,
,,,,YPL240C,,,,,,,,,
,,,,YPL247C,,,,,,,,,
,,,,YPL257W,,,,,,,,,
,,,,YPL272C,,,,,,,,,
,,,,YPR015C,,,,,,,,,
,,,,YPR017C,,,,,,,,,
,,,,YPR020W,,,,,,,,,
,,,,YPR067W,,,,,,,,,
,,,,YPR101W,,,,,,,,,
,,,,YPR133W-A,,,,,,,,,
,,,,YPR196W,,,,,,,,,
,,,,YAL037C-A,,,,,,,,,
,,,,YAR015W,,,,,,,,,
,,,,YBL026W,,,,,,,,,
,,,,YBL102W,,,,,,,,,
,,,,YBR018C,,,,,,,,,
,,,,YBR076W,,,,,,,,,
,,,,YBR176W,,,,,,,,,
,,,,YBR217W,,,,,,,,,
,,,,YBR244W,,,,,,,,,
,,,,YBR258C,,,,,,,,,
,,,,YCL001W-B,,,,,,,,,
,,,,YCR019W,,,,,,,,,
,,,,YCR036W,,,,,,,,,
,,,,YCR075W-A,,,,,,,,,
,,,,YDL036C,,,,,,,,,
,,,,YDL055C,,,,,,,,,
,,,,YDL107W,,,,,,,,,
,,,,YDL114W,,,,,,,,,
,,,,YDL193W,,,,,,,,,
,,,,YDL211C,,,,,,,,,
,,,,YDL218W,,,,,,,,,
,,,,YDR056C,,,,,,,,,
,,,,YDR078C,,,,,,,,,
,,,,YDR091C,,,,,,,,,
,,,,YDR179C,,,,,,,,,
,,,,YDR202C,,,,,,,,,
,,,,YDR246W,,,,,,,,,
,,,,YDR246W-A,,,,,,,,,
,,,,YDR261C,,,,,,,,,
,,,,YDR315C-1,,,,,,,,,
,,,,YDR373W,,,,,,,,,
,,,,YDR404C,,,,,,,,,
,,,,YDR419W,,,,,,,,,
,,,,YDR428C,,,,,,,,,
,,,,YDR451C,,,,,,,,,
,,,,YDR460W,,,,,,,,,
,,,,YDR476C,,,,,,,,,
,,,,YDR538W,,,,,,,,,
,,,,YEL004W,,,,,,,,,
,,,,YEL019C,,,,,,,,,
,,,,YEL029C,,,,,,,,,
,,,,YER050C,,,,,,,,,
,,,,YER055C,,,,,,,,,
,,,,YER076C,,,,,,,,,
,,,,YER085C,,,,,,,,,
,,,,YER112W,,,,,,,,,
,,,,YFL040W,,,,,,,,,
,,,,YFR022W,,,,,,,,,
,,,,YGL019W,,,,,,,,,
,,,,YGL087C,,,,,,,,,
,,,,YGL138C,,,,,,,,,
,,,,YGL164C,,,,,,,,,
,,,,YGL213C,,,,,,,,,
,,,,YGR066C,,,,,,,,,
,,,,YGR102C,,,,,,,,,
,,,,YGR122W,,,,,,,,,
,,,,YGR129W,,,,,,,,,
,,,,YGR133W,,,,,,,,,
,,,,YGR183C,,,,,,,,,
,,,,YGR201C,,,,,,,,,
,,,,YGR220C,,,,,,,,,
,,,,YGR248W,,,,,,,,,
,,,,YHL013C,,,,,,,,,
,,,,YHR029C,,,,,,,,,
,,,,YHR048W,,,,,,,,,
,,,,YHR059W,,,,,,,,,
,,,,YHR072W-A,,,,,,,,,
,,,,YHR086W-A,,,,,,,,,
,,,,YHR108W,,,,,,,,,
,,,,YHR133C,,,,,,,,,
,,,,YHR156C,,,,,,,,,
,,,,YHR157W,,,,,,,,,
,,,,YHR176W,,,,,,,,,
,,,,YHR199C-A,,,,,,,,,
,,,,YIL029C,,,,,,,,,
,,,,YIL061C,,,,,,,,,
,,,,YIL068C,,,,,,,,,
,,,,YIL098C,,,,,,,,,
,,,,YIL113W,,,,,,,,,
,,,,YIL145C,,,,,,,,,
,,,,YIR036C,,,,,,,,,
,,,,YJL065C,,,,,,,,,
,,,,YJL071W,,,,,,,,,
,,,,YJL090C,,,,,,,,,
,,,,YJL160C,,,,,,,,,
,,,,YJL173C,,,,,,,,,
,,,,YJR009C,,,,,,,,,
,,,,YJR032W,,,,,,,,,
,,,,YJR055W,,,,,,,,,
,,,,YJR067C,,,,,,,,,
,,,,YJR083C,,,,,,,,,
,,,,YJR112W-A,,,,,,,,,
,,,,YJR133W,,,,,,,,,
,,,,YJR152W,,,,,,,,,
,,,,YKL008C,,,,,,,,,
,,,,YKL023W,,,,,,,,,
,,,,YKL043W,,,,,,,,,
,,,,YKL049C,,,,,,,,,
,,,,YKL061W,,,,,,,,,
,,,,YKL084W,,,,,,,,,
,,,,YKL113C,,,,,,,,,
,,,,YKL154W,,,,,,,,,
,,,,YKR051W,,,,,,,,,
,,,,YKR083C,,,,,,,,,
,,,,YLL007C,,,,,,,,,
,,,,YLL042C,,,,,,,,,
,,,,YLL055W,,,,,,,,,
,,,,YLR004C,,,,,,,,,
,,,,YLR009W,,,,,,,,,
,,,,YLR126C,,,,,,,,,
,,,,YLR132C,,,,,,,,,
,,,,YLR164W,,,,,,,,,
,,,,YLR186W,,,,,,,,,
,,,,YLR239C,,,,,,,,,
,,,,YLR264C-A,,,,,,,,,
,,,,YLR285C-A,,,,,,,,,
,,,,YLR285W,,,,,,,,,
,,,,YLR313C,,,,,,,,,
,,,,YLR324W,,,,,,,,,
,,,,YLR327C,,,,,,,,,
,,,,YLR370C,,,,,,,,,
,,,,YML029W,,,,,,,,,
,,,,YML054C-A,,,,,,,,,
,,,,YML066C,,,,,,,,,
,,,,YML107C,,,,,,,,,
,,,,YMR001C-A,,,,,,,,,
,,,,YMR107W,,,,,,,,,
,,,,YMR112C,,,,,,,,,
,,,,YMR147W,,,,,,,,,
,,,,YMR182C,,,,,,,,,
,,,,YMR294W,,,,,,,,,
,,,,YMR298W,,,,,,,,,
,,,,YMR299C,,,,,,,,,
,,,,YMR311C,,,,,,,,,
,,,,YMR322C,,,,,,,,,
,,,,YNL070W,,,,,,,,,
,,,,YNL072W,,,,,,,,,
,,,,YNL111C,,,,,,,,,
,,,,YNL133C,,,,,,,,,
,,,,YNL146C-A,,,,,,,,,
,,,,YNL182C,,,,,,,,,
,,,,YNL277W-A,,,,,,,,,
,,,,YNL316C,,,,,,,,,
,,,,YNL329C,,,,,,,,,
,,,,YNL335W,,,,,,,,,
,,,,YNR054C,,,,,,,,,
,,,,YNR061C,,,,,,,,,
,,,,YNR068C,,,,,,,,,
,,,,YOL012C,,,,,,,,,
,,,,YOL016C,,,,,,,,,
,,,,YOL096C,,,,,,,,,
,,,,YOL140W,,,,,,,,,
,,,,YOL143C,,,,,,,,,
,,,,YOR016C,,,,,,,,,
,,,,YOR060C,,,,,,,,,
,,,,YOR075W,,,,,,,,,
,,,,YOR081C,,,,,,,,,
,,,,YOR101W,,,,,,,,,
,,,,YOR130C,,,,,,,,,
,,,,YOR143C,,,,,,,,,
,,,,YOR163W,,,,,,,,,
,,,,YOR179C,,,,,,,,,
,,,,YOR180C,,,,,,,,,
,,,,YOR194C,,,,,,,,,
,,,,YOR196C,,,,,,,,,
,,,,YOR229W,,,,,,,,,
,,,,YOR232W,,,,,,,,,
,,,,YOR304C-A,,,,,,,,,
,,,,YOR358W,,,,,,,,,
,,,,YPL027W,,,,,,,,,
,,,,YPL052W,,,,,,,,,
,,,,YPL071C,,,,,,,,,
,,,,YPL100W,,,,,,,,,
,,,,YPL109C,,,,,,,,,
,,,,YPL138C,,,,,,,,,
,,,,YPL152W-A,,,,,,,,,
,,,,YPL236C,,,,,,,,,
,,,,YPR004C,,,,,,,,,
,,,,YPR009W,,,,,,,,,
,,,,YPR051W,,,,,,,,,
,,,,YPR094W,,,,,,,,,
,,,,YPR100W,,,,,,,,,
,,,,YPR144C,,,,,,,,,
,,,,YPR166C,,,,,,,,,
,,,,YPR182W,,,,,,,,,
