UNIQID	BY4743_log2_Fitness_Score_Rep1	BY4743_log2_Fitness_Score_Rep2	BY4743_log2_Fitness_Score_Rep3	BC187_log2_Fitness_Score_Rep1	BC187_log2_Fitness_Score_Rep2	BC187_log2_Fitness_Score_Rep3	DBVPG1373_log2_Fitness_Score_Rep1	DBVPG1373_log2_Fitness_Score_Rep2	DBVPG1373_log2_Fitness_Score_Rep3	YJM978_log2_Fitness_Score_Rep1	YJM978_log2_Fitness_Score_Rep2	YJM978_log2_Fitness_Score_Rep3	NCYC3290_log2_Fitness_Score_Rep1	NCYC3290_log2_Fitness_Score_Rep2	NCYC3290_log2_Fitness_Score_Rep3	Y12_log2_Fitness_Score_Rep1	Y12_log2_Fitness_Score_Rep2	Y12_log2_Fitness_Score_Rep3	YJM1389_log2_Fitness_Score_Rep1	YJM1389_log2_Fitness_Score_Rep2	YJM1389_log2_Fitness_Score_Rep3	YJM1592_log2_Fitness_Score_Rep1	YJM1592_log2_Fitness_Score_Rep2	YJM1592_log2_Fitness_Score_Rep3	YJM1273_log2_Fitness_Score_Rep1	YJM1273_log2_Fitness_Score_Rep2	YJM1273_log2_Fitness_Score_Rep3	YPS128_log2_Fitness_Score_Rep1	YPS128_log2_Fitness_Score_Rep2	YPS128_log2_Fitness_Score_Rep3	YPS163_log2_Fitness_Score_Rep1	YPS163_log2_Fitness_Score_Rep2	YPS163_log2_Fitness_Score_Rep3	YPS606_log2_Fitness_Score_Rep1	YPS606_log2_Fitness_Score_Rep2	Y2209_log2_Fitness_Score_Rep1	Y2209_log2_Fitness_Score_Rep2	Y2209_log2_Fitness_Score_Rep3	Y389_log2_Fitness_Score_Rep1	Y389_log2_Fitness_Score_Rep2	Y389_log2_Fitness_Score_Rep3	Y7568_log2_Fitness_Score_Rep1	Y7568_log2_Fitness_Score_Rep2	Y7568_log2_Fitness_Score_Rep3
YMR020W	-0.257496	0.106915	0	-0.351472	-0.567475	-0.298523	-1.043661	-1.192048	-0.561258	-0.798041	-0.562733	-0.667856	-2.571906	-0.693339	-2.584963	-0.509365	0.202493	1.022026	-0.071701	-0.134542	-0.70044	0.143125	0.229787	-0.481652	0.244188	0	0.457923	-0.279737	-0.340385	0.441269	-0.111031	-0.684498	-0.850424	0.170171	-0.133876	-0.073063	0.050626	-0.086936	-0.257298	-0.058103	0.26976	-0.244852	0	-0.022601
YNL061W	-0.069263	0.657894	-0.062284	0.263034	-1.874469	-4.61471	0.00E+00	0.00E+00	0.00E+00	-1.402098	-2.232661	-2.584963	-4.662965	-2.095157	-3.421464	0.00E+00	0.00E+00	0.00E+00	-2.070389	-0.691878	-1.459432	-0.371969	0.347923	-0.120294	-1.938599	1.241008	-1.099536	0.00E+00	0.00E+00	0.00E+00	-1.119299	-1.104337	-0.29956	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-0.31034	0.736966	0.275634	-0.5025	-0.099536	-1.058894
YJR134C	0.241008	0.154328	-0.164229	0.222392	-0.209671	0.086509	-0.598979	-0.464907	-0.850922	-0.196397	-0.983512	-1.638901	-0.545434	-1.736966	-2.131706	-1.158262	1.483083	-0.466423	-0.306661	0.474215	-0.296811	0.292451	0.306208	-0.026472	-1.70044	-1.332575	-1.451379	-0.372302	0.005581	-0.355388	0.068172	-0.218499	0.066234	0.00E+00	0.00E+00	-0.31034	-0.60598	-0.369234	0.316474	0.216811	0.4865	-0.41055	-0.180082	-0.471869
YLR309C	0.171766	-0.301381	0.216492	-0.869939	-0.799087	-0.364997	-0.410712	-0.614507	-0.673772	-0.565597	-1.169925	-1.459432	-2.321928	-1.398549	-1.181607	-0.643065	2.093109	-0.167945	-1.071791	-1.788496	-1.5025	0.675378	0.060373	0.27711	0.047306	-1.643856	-1.311202	0.00E+00	0.00E+00	0.00E+00	-0.16004	0.056034	0.068306	0.00E+00	0.00E+00	-0.55687	-0.762961	-0.559872	0.059297	0.176878	0.321928	-0.570316	-1.227806	-0.896495
YLL013C	-0.094948	-0.67516	-0.559809	-0.500898	-0.511899	-0.35311	-0.693573	-0.924273	-0.921526	0.025995	-0.022484	-0.16262	-0.941106	-0.757799	-1.725825	-0.550197	0.333737	0	-1.464668	-0.359328	-1.242075	-0.3254	0.266787	-0.329705	-1.140863	-0.385654	-1.801096	0.455499	0.606464	-1.738483	-0.023459	-0.099536	0.092364	0.735312	0.115353	0.82933	0.361188	-0.086936	-0.080618	-0.159576	0.37707	-0.541373	-0.481127	-0.009915
YMR159C	-0.440573	-0.2824	-0.109624	-1.197939	-0.459432	0.06413	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-0.706269	-1.459432	-1.378512	-0.520832	-0.447459	-0.847997	0.649093	1.465664	0.185556	0.387023	0.415037	1.109624	0.00E+00	0.00E+00	0.00E+00	0.263034	0.415037	-1.509014	-1.554195	-1.400663	-0.678072	0.099536	0.718229	0.267104	0.444785	0.832273	0	0.045804	-0.83399
YNL182C	-0.091861	-0.264862	-0.109347	0.26984	0.050449	0.08573	0.017403	-0.138828	-0.351244	-0.439912	-0.159199	-0.443607	-0.387317	-0.076706	-0.287733	-1.435697	-0.510738	-1.571906	-0.877828	-0.661475	0.600393	0.067288	0.316353	-0.231708	0.090321	0.301923	0.74512	-0.70732	-0.046436	-0.579892	0.30648	-0.147342	-0.309855	-0.506889	-0.462063	-0.166116	0.071207	0.130819	0.343758	0.379539	0.212629	0.297573	0.271673	0.127039
YBR013C	-0.013135	-0.231896	-0.022094	0.146042	0.34299	0.046129	-0.385654	-0.170427	-0.21546	-0.605468	0.138764	0.007736	-0.156906	0.052852	-0.17638	-1.488887	-0.751424	-0.758992	-0.520436	-0.353972	-0.006484	0.213921	0.746616	-0.093109	0.661695	0.244584	0.230708	-0.196491	-0.560016	-0.310046	-0.628031	-0.009523	-0.910733	-0.24934	-0.760659	-0.146841	-0.005496	0.361483	0.32577	0.462627	0.579962	0.469186	0.089575	0.398918
YBR186W	0.122857	0	0.207941	-0.18133	-0.196191	-0.542734	0.108253	-0.412823	-0.338048	-0.732838	0.208108	0.006573	-0.522298	0.080319	-0.559427	-0.924051	-0.58945	-1.397655	-0.107803	-0.102848	-0.483083	0.253617	-0.117914	0.403633	-0.425133	-0.200174	0.055956	0.809669	0.169491	-0.04891	0.138828	0.270302	0.040077	-0.717694	0.058769	-0.548251	0.18152	0.501011	0.637828	0.567475	0.394279	-0.062509	-0.035478	0.030057
YDR379W	0.12608	-0.091148	-0.106042	-1.070389	-1.536053	-1.791413	0.00E+00	0.00E+00	0.00E+00	0.152003	-0.152003	0.295456	0.265894	-0.695145	-0.609625	-2.70044	-1.874469	-2.115477	-0.430634	0.078003	-0.099536	-2.584963	-1.459432	0.459432	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-0.025995	0.156119	0.422233	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-0.082462	-1.415037	-0.906891
