BC187_Beneficial_Genes,BY4743_Beneficial_Genes,DBVPG1373_Beneficial_Genes,NCYC3290_Beneficial_Genes,Y12_Beneficial_Genes,Y2209_Beneficial_Genes,Y389_Beneficial_Genes,Y7568_Beneficial_Genes,YJM1273_Beneficial_Genes,YJM1389_Beneficial_Genes,YJM1592_Beneficial_Genes,YJM978_Beneficial_Genes,YPS128_Beneficial_Genes,YPS163_Beneficial_Genes
YOL026C,YJR130C,YJR024C,YGL057C,,YOR157C,YLR073C,YJL068C,YGL185C,YPR141C,YJL141C,YHR004C,YOR077W,YAL054C
YOR002W,YLL027W,YJR124C,YGR187C,,YOR250C,YML017W,YJL146W,YGR035C,YAL067C,YJR082C,YHR113W,YOR264W,YBR072W
YOR056C,YLR054C,YKL107W,YPL252C,,YAL018C,YML057W,YJR099W,YGR167W,YBR182C-A,YLR049C,YIL076W,YOR386W,YBR145W
YPL214C,YLR291C,YLR038C,YPR180W,,YBR063C,YMR032W,YKL053C-A,YGR177C,YDR044W,YLR346C,YIL103W,YPL119C,YCR044C
YPR159W,YLR397C,YLR056W,,,YBR301W,YMR052W,YLL062C,YHR008C,YDR179C,YLR412C-A,YJL127C-B,YPL119C-A,YDL234C
YBR163W,YMR052W,YLR085C,,,YDL219W,YMR056C,YLR195C,YIL072W,YDR257C,YMR158W,YJR013W,YBL021C,YDR147W
YBR164C,YMR061W,YMR144W,,,YDR268W,YMR194W,YLR387C,YIR038C,YDR357C,YMR315W,YKL051W,YBR011C,YDR182W
YBR210W,YMR194W,YMR261C,,,YDR397C,YMR221C,YLR406C-A,YMR187C,YGL041C-B,YNL185C,YLR136C,YBR060C,YDR263C
YBR264C,YMR243C,YMR291W,,,YDR410C,YNL066W,YMR170C,YNL032W,YHR005C,YNL202W,YLR170C,YBR199W,YDR307W
YBR265W,YNL074C,YNL149C,,,YGL235W,YNL195C,YMR200W,YOR033C,YHR044C,YNR003C,YLR267W,YDL105W,YDR402C
YDL070W,YOL049W,YNL218W,,,YGL242C,YNR018W,YNL022C,YOR131C,YJL072C,YOL082W,YLR271W,YDR109C,YDR479C
YDL124W,YOR056C,YOR006C,,,YGR205W,YOL114C,YNL223W,YOR211C,YLR461W,YOR226C,YLR392C,YDR330W,YGL145W
