UID	BC187_Avg_log2_Fitness_Score	BC187_FDR	BY4743_Avg_log2_Fitness_Score	BY4743_FDR	DBVPG1373_Avg_log2_Fitness_Score	DBVPG1373_FDR	NCYC3290_Avg_log2_Fitness_Score	NCYC3290_FDR	Y12_Avg_log2_Fitness_Score	Y12_FDR	Y2209_Avg_log2_Fitness_Score	Y2209_FDR	Y389_Avg_log2_Fitness_Score	Y389_FDR	Y7568_Avg_log2_Fitness_Score	Y7568_FDR	YJM1273_Avg_log2_Fitness_Score	YJM1273_FDR	YJM1389_Avg_log2_Fitness_Score	YJM1389_FDR	YJM1592_Avg_log2_Fitness_Score	YJM1592_FDR	YJM978_Avg_log2_Fitness_Score	YJM978_FDR	YPS128_Avg_log2_Fitness_Score	YPS128_FDR	YPS163_Avg_log2_Fitness_Score	YPS163_FDR	YPS606_Avg_log2_Fitness_Score	YPS606_FDR
YPL003W	-0.239334611	0.069301498	-0.015654443	0.912073592	-0.383601721	0.000121038	-0.101616388	0.705745539	-0.46150053	0.039191509	-0.10576317	0.713912198	0.118727447	0.40528258	0.153417018	0.112490107	0.103512738	0.622439204	0.30465758	0.05094269	0.245706146	0.177632856	-0.089479459	0.693831343	0.554276445	0.00721661	-0.134102632	0.350869792	-0.3451922	0.697517204
YPL004C	0.006144492	0.972480673	-0.066224562	0.528361276	-5.457349608	0	-0.678505035	0.00393614	-0.854905246	0.008371697	-0.139489294	0.671576742	-0.074817155	0.7685561	0.294507329	0.03619411	-1.314708971	0.000405854	-0.898522306	0.00000499	0.135278275	0.725593784	-0.397768808	0.091346605	-1.530573138	0.005547503	0.246208876	0.124966641	-0.545294411	0.627210643
YPL005W	#N/A	#N/A	0.208927559	0.771757589	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.101618194	0.606657369	0.481389559	0.247287023	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
YPL010W	-0.255987588	0.075025171	-0.03695829	0.753950895	-5.734041275	0	-0.508299908	0.035139846	-1.402107964	0.00000266	0.150004693	0.658341238	-0.031159152	0.900281688	0.230609434	0.031537697	0.492919234	0.000100371	-0.436510993	0.023947479	-0.053242181	0.86363565	-0.017452837	0.952759022	-0.789073507	0.066729569	-0.11681717	0.441039934	-0.100935471	0.933918706
YPL011C	-0.049774356	0.744352597	0.152084483	0.116414101	-0.477297249	0.005348455	-0.140619675	0.577544894	-1.286461935	0.0000000355	-0.306218894	0.302945508	-0.144788595	0.445697977	-0.009788103	0.930034627	-0.566323414	0.005191454	-0.243402253	0.149441653	-0.720732053	0.0000259	-0.13179088	0.674419182	-0.05582243	0.873944187	-0.117845753	0.296148253	-1.365602928	0.089033802
YPL012W	-0.774582355	0.000000861	-0.633477146	0.000000579	-1.275371545	0	-2.671283626	0	-3.723117463	0	-0.8319521	0.005855325	-1.108545859	0.00000000652	-1.151990377	0	-1.8023214	0	-1.518372883	0	-0.321552985	0.307963297	-0.739928651	0.006626357	-2.177695405	0.0000011	-0.367397622	0.041185858	-1.241691146	0.293324998
YPL013C	0.250769196	0.337667369	0.378751864	0.0000016	#N/A	#N/A	0.092601116	0.722351164	-1.573099582	0.005927871	-0.012866927	0.973886114	-0.026360729	0.959006527	-0.921959429	0.001656369	-4.808856842	0	0.350255709	0.186613777	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.604198717	0.580951507
YPL015C	0.291839857	0.001819495	0.079903172	0.533061383	-0.165404392	0.092206114	-0.608487038	0.087738673	-0.885018207	0.0000619	0.363426975	0.07131134	0.343757823	0.025736009	0.210669181	0.009441494	0.086154232	0.563708896	-0.705708795	0.0000084	-0.174903222	0.400761415	0.356343109	0.031723762	0.410010595	0.045085535	-0.022448159	0.893496174	-0.111822482	0.933338509
YPL016W	-4.557806501	0	-0.946027146	0.0000000131	#N/A	#N/A	-0.435630035	0.40227852	-1.212368383	0.003155272	-1.991763921	0.0000828	-2.077917989	0.0000000128	-2.953518313	0	-5.189081035	0	-0.466208553	0.072366998	-1.470243676	0.0000811	-1.80155821	0.0000523	#N/A	#N/A	-1.593786571	0.000000314	-1.624936019	0.084512407
YPL018W	0.591839612	0.266298795	0.308063581	0.000740668	#N/A	#N/A	-0.176450525	0.540976629	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-1.076272897	0.086971116	-0.494859478	0.461618523	-0.080013895	0.874609509	#N/A	#N/A	0.051415454	0.942168814	#N/A	#N/A
YPL020C	-0.788276768	0.0000031	-0.057171791	0.601232911	-1.321158041	0	-1.690099579	0.00000000228	-2.269341452	0	-0.290546616	0.279538893	-0.483459564	0.000922259	-0.14004137	0.176746965	-1.222745991	0.00000145	-1.926897814	0	-0.779813378	0.014751562	-0.237422543	0.244519742	-1.646037195	0.00000263	-0.73848604	0.00000878	-0.917855854	0.264440038
YPL021W	-0.074764186	0.604588704	0.209206991	0.01573093	0.774425598	0	0.741768697	0.003373534	0.664570919	0.000169522	0.124552756	0.588017115	0.391787942	0.002835167	0.448744396	0.0000000164	0.82610543	0	0.976944809	0	0.803312267	0.00000000448	0.523478643	0.000209726	1.457085663	0	0.481409339	0.000000898	0.066760598	0.952569422
YPL022W	0.242466033	0.174691695	-0.167585804	0.270811519	-5.204749909	0	-1.850868597	0.00010054	-1.580384408	0.0000375	-0.299330933	0.49205753	-0.739368567	0.002555224	-1.028835754	0.00000000552	-0.433180507	0.106197012	-0.654254363	0.007053775	-0.292468173	0.510816798	0.066204957	0.883584124	-0.8859512	0.191036817	0.208043262	0.394484087	-0.652087736	0.628029317
YPL026C	-0.718219415	0.000082	0.13293352	0.521761516	-4.827182397	0	-0.972040307	0.04711438	-2.397181263	0.000000000632	-0.311022266	0.415443928	0.881268298	0.159872256	-0.412757861	0.00555176	0.109649031	0.650023724	-0.665981613	0.011393932	-0.026578242	0.964330927	-0.15470095	0.683019673	-0.376296622	0.28304995	-0.703637293	0.000000221	#N/A	#N/A
YPL027W	0.362176626	0.00363041	0.430938579	0.00000379	0.223176202	0.027332	-0.268325612	0.303010815	-0.745190234	0.000866444	0.103750158	0.729639675	0.519397803	0.000124224	0.29968444	0.001274934	0.265942734	0.080352893	-0.023225034	0.911359562	0.01069418	0.973023254	0.082297256	0.842084484	0.62378372	0.002595956	0.612262984	0	-0.077997644	0.948782333
YPL028W	0.044593016	0.791074556	-0.240346177	0.143098618	-1.349374566	0.000000744	-1.997241237	0.000216856	-2.568154536	0.000000000111	-0.042200249	0.912186148	0.031074922	0.878565339	-0.092172048	0.480185947	-1.710087865	0.00000529	-1.802439252	0	-0.702124977	0.026374674	-0.227283652	0.626277011	-1.650209726	0.0000263	-2.280313556	0	-1.718645185	0.11818505
YPL029W	0.227037453	0.558081181	-0.155886947	0.408686462	-4.714461071	0	-1.157495924	0.032730687	-1.768916505	0.0000417	0.060080259	0.946171459	0.014256311	0.958926387	-0.153207943	0.454333984	-0.445169721	0.210476637	-1.604022957	0.00000413	-0.203606261	0.712157637	-0.52659442	0.325648231	-0.174511246	0.818215784	0.049162827	0.888697603	#N/A	#N/A
YPL030W	-0.222943827	0.170628843	-0.07365717	0.683590183	-5.199079282	0	-0.928690368	0.027884771	-1.465985544	0.00000104	0.030849943	0.9465846	-0.518223757	0.017000149	0.011056872	0.943587616	-0.701622268	0.02494612	-0.472180147	0.026492235	-0.110565591	0.768830776	0.097683853	0.795095857	-0.072318231	0.853241784	-0.271306302	0.14721761	0.191689335	0.873869705
YPL032C	-2.617362271	0	-1.483675283	0	-5.711903095	0	-3.375326318	0	-3.015318661	0	-2.888385689	0	-1.299537735	0	-1.795368669	0	-1.164746342	0.0000106	-3.111440123	0	-1.682748684	0	-1.571357495	0	-1.4369728	0.0000844	-6.460198782	0	-1.749763042	0.01784059
YPL033C	0.167775872	0.21122342	0.153413401	0.071573551	-0.266939833	0.036663244	-0.18020613	0.510443404	-1.071297484	0.000000676	0.078081482	0.796259257	0.272179623	0.025337597	0.241111604	0.002914967	0.37704075	0.018868565	-0.290874495	0.069397634	0.324842014	0.099559225	-0.206254395	0.396643364	-0.769219911	0.00332167	-0.425421799	0.002276129	-0.652510729	0.434521516
YPL034W	0.357538215	0.005792566	0.019406396	0.911771899	-0.405200218	0.009867783	0.476858382	0.03586857	-1.358394763	0.000000151	0.321341691	0.19577132	-0.107078585	0.551972656	0.441360833	0.000000397	0.181457379	0.182496867	-0.380453711	0.041818865	0.014928986	0.955868993	0.379072811	0.024699276	0.128894335	0.60583376	0.101590643	0.587221353	-0.460034696	0.636815918
YPL037C	-1.412571681	0	-0.760679306	0	-1.800248653	0	-2.738276972	0	-4.559769097	0	-0.043660919	0.912186148	-0.934198734	0.0000000296	-0.360956456	0.001569716	-2.022917237	0	-2.211590582	0	-0.387851694	0.180933344	-1.153021003	0.000370108	-1.741080901	0.00000172	-1.384102618	0	-2.730607089	0.000451203
YPL040C	-0.508940048	0.029195831	-0.073494488	0.764841994	-4.678724538	0	-0.379785679	0.684450895	-0.423329055	0.346803884	-0.37957292	0.531883085	-2.158461137	0.000000000944	-0.856479697	0.00000208	-1.753289042	0.020102388	-0.680979568	0.027584878	0.203276704	0.694326489	-0.850517125	0.050856964	0.411026768	0.285961343	-4.81921246	0	-0.425481294	0.675134103
